Location, Size, Price, Mortgage (Monthly)
115 Cleveland Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 041 sqft,$445000,2181
20 Walker Rd Trumbull  CT,1 842 sqft,$445000,2181
110 Grenelle St North End  Bridgeport  CT,2 034 sqft,$449000,2201
938 Connecticut Ave East End  Bridgeport  CT,3 344 sqft,$449000,2201
11 Anton Cir North End  Bridgeport  CT,1 837 sqft,$449900,2204
1014 Noble Ave Bridgeport  CT,4 744 sqft,$449900,2204
550 Brooks St Bridgeport  CT,3 382 sqft,$420000,2204
2076 Boston Ave Mill Hill  Bridgeport  CT,3 914 sqft,$449900,2204
2076 Boston Ave Mill Hill  Bridgeport  CT,3 914 sqft,$449900,2204
91 James St Hollow  Bridgeport  CT,5 480 sqft,$450000,2205
334 Norman St West Side/ West End  Bridgeport  CT,4 446 sqft,$450000,2205
82 Hansen Ave Black Rock  Bridgeport  CT,3 289 sqft,$450000,2205
1668 Stratford Ave East End  Bridgeport  CT,5 600 sqft,$450000,2205
1847 Huntington Tpke Trumbull  CT,2 741 sqft,$450000,2205
910 Lakeside Dr North End  Bridgeport  CT,2 208 sqft,$450000,2213
3200 Park Ave #7F1 North End  Bridgeport  CT,2 355 sqft,$249900,2217
1074 Valley Rd Fairfield  CT,1 626 sqft,$459900,2252
222 French St Brooklawn/ St. Vincent's  Bridgeport  CT,2 922 sqft,$460000,2253
1769 Park Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 350 sqft,$460000,2253
1769 Park Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 350 sqft,$460000,2253
351 Cambridge St North End  Bridgeport  CT,1 600 sqft,$465000,2276
351 Cambridge St North End  Bridgeport  CT,1 600 sqft,$465000,2276
180 Loftus Cir North End  Bridgeport  CT,2 861 sqft,$469000,2295
36 Brooklawn Ave Brooklawn/ St. Vincent's  Bridgeport  CT,4 467 sqft,$475000,2324
100 Stoehrs Pl North End  Bridgeport  CT,2 332 sqft,$480000,2347
48 Rocky Hill Rd Trumbull  CT,2 132 sqft,$488000,2385
520 Midland St Black Rock  Bridgeport  CT,2 506 sqft,$489000,2390
520 Midland St Black Rock  Bridgeport  CT,2 506 sqft,$489000,2390
520 Midland St Black Rock  Bridgeport  CT,2 506 sqft,$489000,2390
728 Park St Bridgeport  CT,3 412 sqft,$489900,2394
35 Beachview Ave Black Rock  Bridgeport  CT,1 978 sqft,$495000,2418
35 Beachview Ave Black Rock  Bridgeport  CT,1 978 sqft,$495000,2418
35 Beachview Ave Black Rock  Bridgeport  CT,1 978 sqft,$495000,2418
115-117 Harborview Ave Black Rock  Bridgeport  CT,2 451 sqft,$499900,2441
115-117 Harborview Ave Black Rock  Bridgeport  CT,2 451 sqft,$499900,2441
160 Wade St Brooklawn/ St. Vincent's  Bridgeport  CT,3 150 sqft,$499900,2441
1601 Huntington Tpke Trumbull  CT,1 976 sqft,$499900,2441
564 Midland St Black Rock  Bridgeport  CT,4 828 sqft,$519000,2532
564 Midland St Black Rock  Bridgeport  CT,4 828 sqft,$519000,2532
564 Midland St Black Rock  Bridgeport  CT,4 828 sqft,$519000,2532
454 Newfield Ave East End  Bridgeport  CT,7 698 sqft,$525000,2560
101 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 585 sqft,$529900,2583
610 William St Bridgeport  CT,4 000 sqft,$530000,2583
101 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 585 sqft,$529900,2583
101 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 585 sqft,$529900,2583
37 Seaview Ter Black Rock  Bridgeport  CT,3 196 sqft,$545000,2655
37 Seaview Ter Black Rock  Bridgeport  CT,3 196 sqft,$545000,2655
4809 Madison Ave Trumbull  CT,3 467 sqft,$549500,2676
45 Scofield Ave Black Rock  Bridgeport  CT,3 363 sqft,$550000,2679
150 Seabright Ave Black Rock  Bridgeport  CT,1 059 sqft,$559900,2725
150 Seabright Ave Black Rock  Bridgeport  CT,1 059 sqft,$559900,2725
11 Century Dr Trumbull  CT,3 038 sqft,$469900,2740
24 Marne Ave Fairfield  CT,1 956 sqft,$575000,2796
6 Old Dike Rd Trumbull  CT,3 850 sqft,$589000,2863
100 Ellsworth St Black Rock  Bridgeport  CT,2 692 sqft,$595000,2892
100 Ellsworth St Black Rock  Bridgeport  CT,2 692 sqft,$595000,2892
100 Ellsworth St Black Rock  Bridgeport  CT,2 692 sqft,$595000,2892
66 Polk St Resevoir  Bridgeport  CT,2 985 sqft,$600000,2915
155 Linley Dr Fairfield  CT,1 815 sqft,$629900,3057
690 Clinton Ave West Side/ West End  Bridgeport  CT,7 813 sqft,$640000,3104
42 Mulberry St Trumbull  CT,4 396 sqft,$639900,3104
690 Clinton Ave West Side/ West End  Bridgeport  CT,7 813 sqft,$640000,3104
120 Midland St Black Rock  Bridgeport  CT,2 300 sqft,$649000,3147
1365 E Main St Bridgeport  CT,5 909 sqft,$649000,3147
899 Hancock Ave West Side/ West End  Bridgeport  CT,5 600 sqft,$675000,3270
899 Hancock Ave West Side/ West End  Bridgeport  CT,5 600 sqft,$675000,3270
145 Jackman Ave Fairfield  CT,3 035 sqft,$679500,3291
300 Balmforth St Black Rock  Bridgeport  CT,3 187 sqft,$689000,3337
47 Folino Dr North End  Bridgeport  CT,2 528 sqft,$689900,3341
220 Maplewood Ave West Side/ West End  Bridgeport  CT,6 090 sqft,$720000,3483
790 Fairfield Woods Rd Fairfield  CT,3 391 sqft,$725000,3507
77 Wakeman Rd Fairfield  CT,1 904 sqft,$749000,3620
524 Riverside Dr Fairfield  CT,1 410 sqft,$779000,3762
159 Tahmore Dr Fairfield  CT,2 937 sqft,$799000,3890
271 Sailors Ln Black Rock  Bridgeport  CT,4 569 sqft,$899500,4333
271 Sailors Ln Black Rock  Bridgeport  CT,4 569 sqft,$899500,4333
271 Sailors Ln Black Rock  Bridgeport  CT,4 569 sqft,$899500,4333
543 Old Post Rd Fairfield  CT,3 560 sqft,$1095000,5258
28 Twisted Oak Cir Trumbull  CT,6 638 sqft,$1100000,5340
