Location, Size, Price, Mortgage (Monthly)
480 East Ave Mill Hill  Bridgeport  CT,1 252 sqft,$229900,1164
2625 Park Ave #5B Brooklawn/ St. Vincent's  Bridgeport  CT,823 sqft,$135000,1167
48 Yarrington Ct East End  Bridgeport  CT,1 187 sqft,$185000,1176
48 Yarrington Ct East End  Bridgeport  CT,1 187 sqft,$185000,1176
78 Rowsley St #3 Black Rock  Bridgeport  CT,750 sqft,$134900,1195
228 Deforest Ave East End  Bridgeport  CT,1 661 sqft,$239900,1211
285 Jefferson St East End  Bridgeport  CT,1 116 sqft,$239900,1211
333 Vincellette St #54 North End  Bridgeport  CT,1 184 sqft,$165000,1230
2812 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$164999,1231
168 Pixlee Pl Mill Hill  Bridgeport  CT,1 156 sqft,$245000,1235
175 Kennedy Dr #175 North End  Bridgeport  CT,1 023 sqft,$189900,1238
55 Nash Ln #6 Black Rock  Bridgeport  CT,750 sqft,$144900,1242
333 Vincellette St #58 North End  Bridgeport  CT,1 152 sqft,$169900,1245
1 Armstrong Pl Bridgeport  CT,2 411 sqft,$249000,1254
95 Austin St South End  Bridgeport  CT,1 284 sqft,$249900,1258
45 Palmer St North End  Bridgeport  CT,1 152 sqft,$249900,1258
679 Shelton St Bridgeport  CT,2 400 sqft,$249900,1258
95 Austin St South End  Bridgeport  CT,1 284 sqft,$249900,1258
95 Austin St South End  Bridgeport  CT,1 284 sqft,$249900,1258
325 Lafayette St #5202 South End  Bridgeport  CT,1 050 sqft,$169000,1265
325 Lafayette St #5202 South End  Bridgeport  CT,1 050 sqft,$169000,1265
325 Lafayette St #5202 South End  Bridgeport  CT,1 050 sqft,$169000,1265
548 Queen St North End  Bridgeport  CT,1 116 sqft,$254999,1282
470 Ezra St North End  Bridgeport  CT,1 094 sqft,$259000,1301
486 Woodlawn Avenue Ext Resevoir  Bridgeport  CT,1 536 sqft,$259900,1305
95 Wake St Mill Hill  Bridgeport  CT,1 646 sqft,$259900,1305
46 Abner Ct #46 North End  Bridgeport  CT,1 305 sqft,$174900,1316
25 Lakeside Dr North End  Bridgeport  CT,1 528 sqft,$265000,1330
316 Benham Ave Hollow  Bridgeport  CT,2 178 sqft,$265000,1330
25 Lakeside Dr North End  Bridgeport  CT,1 528 sqft,$265000,1330
25 Lakeside Dr North End  Bridgeport  CT,1 528 sqft,$265000,1330
206 Cottage St West Side/ West End  Bridgeport  CT,1 841 sqft,$269000,1348
226 Houston Ave Resevoir  Bridgeport  CT,1 152 sqft,$269900,1353
464 Hollister Ave East End  Bridgeport  CT,3 176 sqft,$270000,1353
129 Forestview Rd North End  Bridgeport  CT,1 144 sqft,$270000,1353
226 Houston Ave Resevoir  Bridgeport  CT,1 152 sqft,$269900,1353
226 Houston Ave Resevoir  Bridgeport  CT,1 152 sqft,$269900,1353
464 Hollister Ave East End  Bridgeport  CT,3 176 sqft,$270000,1353
2660 North Ave #240 Brooklawn/ St. Vincent's  Bridgeport  CT,1 064 sqft,$209900,1362
10-12 Clinton Ave West Side/ West End  Bridgeport  CT,2 132 sqft,$275000,1377
115 Caroline St Bridgeport  CT,2 406 sqft,$275000,1377
1017 Grand St Hollow  Bridgeport  CT,1 624 sqft,$275000,1377
397 Benham Ave Hollow  Bridgeport  CT,1 210 sqft,$275000,1377
115 Caroline St Bridgeport  CT,2 406 sqft,$275000,1377
1058 William St Bridgeport  CT,2 088 sqft,$274900,1377
1058 William St Bridgeport  CT,2 088 sqft,$274900,1377
888 Platt St North End  Bridgeport  CT,1 152 sqft,$279000,1396
72 Waterman St East End  Bridgeport  CT,2 962 sqft,$279000,1396
397 James St Hollow  Bridgeport  CT,2 847 sqft,$279000,1396
194 Smith St East End  Bridgeport  CT,2 218 sqft,$279000,1396
832 Brewster St Black Rock  Bridgeport  CT,844 sqft,$279900,1400
