Location, Size, Price, Mortgage (Monthly), , , Listing Link
2021 Spenwick Dr #722 Spring Branch East  Houston  TX,742 sqft,$99500,591,,,https://www.trulia.com/p/tx/houston/2021-spenwick-dr-722-houston-tx-77055--2068751304
2006 Semmes St Greater Fifth Ward  Houston  TX,1 152 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/2006-semmes-st-houston-tx-77026--2068548387
2006 Semmes St Greater Fifth Ward  Houston  TX,1 152 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/2006-semmes-st-houston-tx-77026--2068548387
19385 McKnight Ln Iah - Airport Area  Humble  TX,1 290 sqft,$100000,593,,,https://www.trulia.com/p/tx/humble/19385-mcknight-ln-humble-tx-77338--2069229099
3921 Melbourne St Trinity - Houston Gardens  Houston  TX,687 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/3921-melbourne-st-houston-tx-77026--2068553437
19385 McKnight Ln Iah - Airport Area  Humble  TX,1 290 sqft,$100000,593,,,https://www.trulia.com/p/tx/humble/19385-mcknight-ln-humble-tx-77338--2069229099
3921 Melbourne St Trinity - Houston Gardens  Houston  TX,687 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/3921-melbourne-st-houston-tx-77026--2068553437
803 1/2 Ellena St Northside-Northline  Houston  TX,625 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/803-1-2-ellena-st-houston-tx-77076--2533892094
803 1/2 Ellena St Northside-Northline  Houston  TX,625 sqft,$100000,593,,,https://www.trulia.com/p/tx/houston/803-1-2-ellena-st-houston-tx-77076--2533892094
7834 Birmingham St Settegast  Houston  TX,624 sqft,$100000,594,,,https://www.trulia.com/p/tx/houston/7834-birmingham-st-houston-tx-77028--2068567917
7400 Bellerive Dr #713 Sharpstown  Houston  TX,584 sqft,$70000,611,,,https://www.trulia.com/p/tx/houston/7400-bellerive-dr-713-houston-tx-77036--2068616734
14777 Wunderlich Dr #2304 Houston  TX,595 sqft,$77000,614,,,https://www.trulia.com/p/tx/houston/14777-wunderlich-dr-2304-houston-tx-77069--2068857416
2300 Hutton St #1/2 Greater Fifth Ward  Houston  TX,680 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/2300-hutton-st-1-2-houston-tx-77026--2443961656
4203 New Orleans St Greater Fifth Ward  Houston  TX,1 080 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/4203-new-orleans-st-houston-tx-77020--2068499233
12615 Brookglade Cir #513 Alief  Houston  TX,852 sqft,$55000,618,,,https://www.trulia.com/p/tx/houston/12615-brookglade-cir-513-houston-tx-77099--2173591909
4203 New Orleans St Greater Fifth Ward  Houston  TX,1 080 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/4203-new-orleans-st-houston-tx-77020--2068499233
2925 Sadler St Eastex - Jensen Area  Houston  TX,1 065 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/2925-sadler-st-houston-tx-77093--2069095362
14741 Kenny St Houston  TX,1 080 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/14741-kenny-st-houston-tx-77015--2166814133
2925 Sadler St Eastex - Jensen Area  Houston  TX,1 065 sqft,$105000,618,,,https://www.trulia.com/p/tx/houston/2925-sadler-st-houston-tx-77093--2069095362
11506 Rockford Dr South Acres - Crestmont Park  Houston  TX,1 340 sqft,$104900,619,,,https://www.trulia.com/p/tx/houston/11506-rockford-dr-houston-tx-77048--2068712278
