Location, Size, Price, Mortgage (Monthly), , , Listing Link
368 Connecticut Ave #10 East End  Bridgeport  CT,870 sqft,$160000,957,,,https://www.trulia.com/p/ct/bridgeport/368-connecticut-ave-10-bridgeport-ct-06607--2005442255
219 6th St East End  Bridgeport  CT,1 452 sqft,$189000,969,,,https://www.trulia.com/p/ct/bridgeport/219-6th-st-bridgeport-ct-06607--1062097145
1 Wallace Ct West Side/ West End  Bridgeport  CT,1 122 sqft,$189000,969,,,https://www.trulia.com/p/ct/bridgeport/1-wallace-ct-bridgeport-ct-06605--2005421602
243 Jefferson St East End  Bridgeport  CT,851 sqft,$189900,974,,,https://www.trulia.com/p/ct/bridgeport/243-jefferson-st-bridgeport-ct-06607--2005441837
105 Court D #32 Mill Hill  Bridgeport  CT,800 sqft,$78000,994,,,https://www.trulia.com/p/ct/bridgeport/105-court-d-32-bridgeport-ct-06610--2428599563
127 Court D #33 Mill Hill  Bridgeport  CT,692 sqft,$75000,1000,,,https://www.trulia.com/p/ct/bridgeport/127-court-d-33-bridgeport-ct-06610--2543269410
2625 Park Ave #15R Brooklawn/ St. Vincent's  Bridgeport  CT,677 sqft,$100000,1005,,,https://www.trulia.com/p/ct/bridgeport/2625-park-ave-15r-bridgeport-ct-06604--2005416065
462 Glendale Ave #13 North End  Bridgeport  CT,781 sqft,$149900,1007,,,https://www.trulia.com/p/ct/bridgeport/462-glendale-ave-13-bridgeport-ct-06606--2005435860
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900,1010,,,https://www.trulia.com/p/ct/bridgeport/2768-madison-ave-2a-bridgeport-ct-06606--2005431780
2768 Madison Ave #2A North End  Bridgeport  CT,850 sqft,$129900,1010,,,https://www.trulia.com/p/ct/bridgeport/2768-madison-ave-2a-bridgeport-ct-06606--2005431780
3006 Madison Ave #D North End  Bridgeport  CT,739 sqft,$139900,1020,,,https://www.trulia.com/p/ct/bridgeport/3006-madison-ave-d-bridgeport-ct-06606--2005432436
141 Union Ave #10 East End  Bridgeport  CT,1 100 sqft,$65000,1021,,,https://www.trulia.com/p/ct/bridgeport/141-union-ave-10-bridgeport-ct-06607--2286797013
141 Union Ave #10 East End  Bridgeport  CT,1 100 sqft,$65000,1021,,,https://www.trulia.com/p/ct/bridgeport/141-union-ave-10-bridgeport-ct-06607--2286797013
110 Glenwood Ave #110 Bridgeport  CT,700 sqft,$159900,1022,,,https://www.trulia.com/p/ct/bridgeport/110-glenwood-ave-110-bridgeport-ct-06610--2183960171
127 Kennedy Dr #127 North End  Bridgeport  CT,1 023 sqft,$139000,1022,,,https://www.trulia.com/p/ct/bridgeport/127-kennedy-dr-127-bridgeport-ct-06606--2177852663
325 Lafayette St #4305 South End  Bridgeport  CT,936 sqft,$125000,1026,,,https://www.trulia.com/p/ct/bridgeport/325-lafayette-st-4305-bridgeport-ct-06604--2005416974
21 Kennedy Dr #21 North End  Bridgeport  CT,1 023 sqft,$150000,1049,,,https://www.trulia.com/p/ct/bridgeport/21-kennedy-dr-21-bridgeport-ct-06606--2190889272
60 Pleasant St Bridgeport  CT,1 912 sqft,$210000,1069,,,https://www.trulia.com/p/ct/bridgeport/60-pleasant-st-bridgeport-ct-06608--2005445410
79 Kennedy Dr #79 North End  Bridgeport  CT,1 023 sqft,$149900,1075,,,https://www.trulia.com/p/ct/bridgeport/79-kennedy-dr-79-bridgeport-ct-06606--2190949499
1116 State St #1116 West Side/ West End  Bridgeport  CT,1 250 sqft,$179900,1076,,,https://www.trulia.com/p/ct/bridgeport/1116-state-st-1116-bridgeport-ct-06605--2192289927
1116 State St #1116 West Side/ West End  Bridgeport  CT,1 250 sqft,$179900,1076,,,https://www.trulia.com/p/ct/bridgeport/1116-state-st-1116-bridgeport-ct-06605--2192289927
1116 State St #1116 West Side/ West End  Bridgeport  CT,1 250 sqft,$179900,1076,,,https://www.trulia.com/p/ct/bridgeport/1116-state-st-1116-bridgeport-ct-06605--2192289927
390 Charles St #218 Brooklawn/ St. Vincent's  Bridgeport  CT,920 sqft,$153000,1084,,,https://www.trulia.com/p/ct/bridgeport/390-charles-st-218-bridgeport-ct-06606--2005434682
995 Capitol Ave #C Brooklawn/ St. Vincent's  Bridgeport  CT,857 sqft,$169000,1090,,,https://www.trulia.com/p/ct/bridgeport/995-capitol-ave-c-bridgeport-ct-06606--2005440532
120 Huntington Tpke #302 West Side/ West End  Bridgeport  CT,986 sqft,$134900,1095,,,https://www.trulia.com/p/ct/bridgeport/120-huntington-tpke-302-bridgeport-ct-06610--2005446828
81 Cherry Hill Dr #1B North End  Bridgeport  CT,850 sqft,$149900,1105,,,https://www.trulia.com/p/ct/bridgeport/81-cherry-hill-dr-1b-bridgeport-ct-06606--2005439463
90 Hillcrest Rd Resevoir  Bridgeport  CT,1 152 sqft,$217750,1105,,,https://www.trulia.com/p/ct/bridgeport/90-hillcrest-rd-bridgeport-ct-06606--1065303093
81 Cherry Hill Dr #1B North End  Bridgeport  CT,850 sqft,$149900,1105,,,https://www.trulia.com/p/ct/bridgeport/81-cherry-hill-dr-1b-bridgeport-ct-06606--2005439463
110 Benson St Brooklawn/ St. Vincent's  Bridgeport  CT,780 sqft,$219000,1112,,,https://www.trulia.com/p/ct/bridgeport/110-benson-st-bridgeport-ct-06606--1007127323
29 Sidney St Brooklawn/ St. Vincent's  Bridgeport  CT,1 296 sqft,$224900,1139,,,https://www.trulia.com/p/ct/bridgeport/29-sidney-st-bridgeport-ct-06606--2005432375
1030 Pembroke St Bridgeport  CT,1 148 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/1030-pembroke-st-bridgeport-ct-06608--2005443314
1030 Pembroke St Bridgeport  CT,1 148 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/1030-pembroke-st-bridgeport-ct-06608--2005443314
28 Tully Cir Bridgeport  CT,940 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/28-tully-cir-bridgeport-ct-06610--2005449523
270 Lexington Ave Hollow  Bridgeport  CT,2 790 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/270-lexington-ave-bridgeport-ct-06604--1006244609
270 Lexington Ave Hollow  Bridgeport  CT,2 790 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/270-lexington-ave-bridgeport-ct-06604--1006244609
1030 Pembroke St Bridgeport  CT,1 148 sqft,$225000,1140,,,https://www.trulia.com/p/ct/bridgeport/1030-pembroke-st-bridgeport-ct-06608--2005443314
